#R,,,,,,,
200,206,212,218,224,230,236,242
201,207,213,219,225,231,237,243
202,208,214,220,226,232,238,244
203,209,215,221,227,233,239,245
204,210,216,222,228,234,240,246
205,211,217,223,229,235,241,247
,,,,,,,
#GR,,,,,,,
300,306,312,318,324,330,336,342
301,307,313,319,325,331,337,343
302,308,314,320,326,332,338,344
303,309,315,321,327,333,339,345
304,310,316,322,328,334,340,346
305,311,317,323,329,335,341,347
,,,,,,,
#GB,,,,,,,
400,406,412,418,424,430,436,442
401,407,413,419,425,431,437,443
402,408,414,420,426,432,438,444
403,409,415,421,427,433,439,445
404,410,416,422,428,434,440,446
405,411,417,423,429,435,441,447
,,,,,,,
#B,,,,,,,
500,506,512,518,524,530,536,542
501,507,513,519,525,531,537,543
502,508,514,520,526,532,538,544
503,509,515,521,527,533,539,545
504,510,516,522,528,534,540,546
505,511,517,523,529,535,541,547
